"","species","varval","genus","family","order","class","phylum","kingdom"
"100908","Dasyuroides byrnei",104.91,"Dasyuroides","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia"
"100967","Dasyurus albopunctatus",646.696,"Dasyurus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia"
"100981","Dasyurus geoffroii",1195.26222222222,"Dasyurus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia"
"101035","Dasyurus hallucatus",595.395,"Dasyurus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia"
"101086","Dasyurus maculatus",2987.55227272727,"Dasyurus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia"
"101164","Dasyurus spartacus",855.223333333333,"Dasyurus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia"
"101175","Dasyurus viverrinus",1059.95823529412,"Dasyurus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia"
"101238","Daubentonia madagascariensis",2474.175,"Daubentonia","Daubentoniidae","Primates","Mammalia","Chordata","Animalia"
"101286","Deconychura longicauda",23.8,"Deconychura","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"101291","Deconychura stictolaema",18.5,"Deconychura","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"101295","Deirochelys reticularia",910.5,"Deirochelys","Emydidae","Testudines","Reptilia","Chordata","Animalia"
"101351","Delanymys brooksi",4.99,"Delanymys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"101356","Deleornis axillaris",12.115,"Deleornis","Nectariniidae","Passeriformes","Aves","Chordata","Animalia"
"101365","Deleornis fraseri",12.14,"Deleornis","Nectariniidae","Passeriformes","Aves","Chordata","Animalia"
"101374","Delichon dasypus",18,"Delichon","Hirundinidae","Passeriformes","Aves","Chordata","Animalia"
"101377","Delichon urbicum",18.225,"Delichon","Hirundinidae","Passeriformes","Aves","Chordata","Animalia"
"101454","Delma australis",3.16227766016838,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101478","Delma borea",3.38844156139203,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101488","Delma butleri",4.03289759400796,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101508","Delma fraseri",4.08959958224771,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101543","Delma grayii",2.91930691995683,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101558","Delma impar",5.74823601045192,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101577","Delma inornata",7.41310241300917,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101593","Delma nasuta",2.18944698160281,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101609","Delma tincta",3.09029543251359,"Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia"
"101625","Delomys dorsalis",34.25,"Delomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"101630","Delomys sublineatus",89.99,"Delomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"101632","Delothraupis castaneoventris",30.5,"Delothraupis","Thraupidae","Passeriformes","Aves","Chordata","Animalia"
"101637","Delphinapterus leucas",1198928.146,"Delphinapterus","Monodontidae","Cetacea","Mammalia","Chordata","Animalia"
"101691","Delphinus capensis",106182.5,"Delphinus","Delphinidae","Cetacea","Mammalia","Chordata","Animalia"
"101715","Delphinus delphis",92909.1725,"Delphinus","Delphinidae","Cetacea","Mammalia","Chordata","Animalia"
"101751","Deltamys kempi",26.4,"Deltamys","Cricetidae","Rodentia","Mammalia","Chordata","Animalia"
"101754","Deltarhynchus flammulatus",17.2,"Deltarhynchus","Tyrannidae","Passeriformes","Aves","Chordata","Animalia"
"101756","Demansia papuensis",1359,"Demansia","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"101791","Demansia psammophis",40.197431468819,"Demansia","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"101826","Demansia torquata",20,"Demansia","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"101868","Demansia vestigiata",81.1666666666667,"Demansia","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"101898","Dendragapus obscurus",1099.32936509524,"Dendragapus","Phasianidae","Galliformes","Aves","Chordata","Animalia"
"102014","Dendrelaphis bifrenalis",1130,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102019","Dendrelaphis calligastra",436.85,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102039","Dendrelaphis caudolineatus",706.5,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102048","Dendrelaphis cyanochloris",848,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102053","Dendrelaphis flavescens",1359,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102059","Dendrelaphis formosus",1470,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102064","Dendrelaphis gastrostictus",540,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102069","Dendrelaphis inornatus",1130,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102073","Dendrelaphis lorentzi",211,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102078","Dendrelaphis luzonensis",1359,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102085","Dendrelaphis modestus",1359,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102091","Dendrelaphis papuensis",445,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102096","Dendrelaphis pictus",1130,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102101","Dendrelaphis punctulatus",857.867436632511,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102188","Dendrelaphis salomonis",384,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102192","Dendrelaphis striatus",384,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102197","Dendrelaphis subocularis",555,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102202","Dendrelaphis terrificus",1359,"Dendrelaphis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"102209","Dendrexetastes rufigula",67.65,"Dendrexetastes","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102219","Dendroaspis angusticeps",1286.63382638388,"Dendroaspis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"102240","Dendroaspis jamesoni",10970.1339959477,"Dendroaspis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"102259","Dendroaspis polylepis",13179.3350538803,"Dendroaspis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"102290","Dendroaspis viridis",1862.08713666287,"Dendroaspis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"102303","Dendrobates auratus",1.92778533333333,"Dendrobates","Dendrobatidae","Anura","Amphibia","Chordata","Animalia"
"102339","Dendrocincla anabatina",34.35,"Dendrocincla","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102352","Dendrocincla fuliginosa",40.4944444444444,"Dendrocincla","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102397","Dendrocincla homochroa",39.6333333333333,"Dendrocincla","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102406","Dendrocincla merula",50.15,"Dendrocincla","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102413","Dendrocincla tyrannina",54.9,"Dendrocincla","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102415","Dendrocitta bayleii",106.333333333333,"Dendrocitta","Corvidae","Passeriformes","Aves","Chordata","Animalia"
"102425","Dendrocitta formosae",106.75,"Dendrocitta","Corvidae","Passeriformes","Aves","Chordata","Animalia"
"102438","Dendrocitta leucogastra",99.2,"Dendrocitta","Corvidae","Passeriformes","Aves","Chordata","Animalia"
"102447","Dendrocitta occipitalis",95.3,"Dendrocitta","Corvidae","Passeriformes","Aves","Chordata","Animalia"
"102451","Dendrocitta vagabunda",114.4,"Dendrocitta","Corvidae","Passeriformes","Aves","Chordata","Animalia"
"102463","Dendrocolaptes certhia",68.7,"Dendrocolaptes","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102469","Dendrocolaptes hoffmannsi",83,"Dendrocolaptes","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102473","Dendrocolaptes picumnus",81.6785714285714,"Dendrocolaptes","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102489","Dendrocolaptes platyrostris",61.7,"Dendrocolaptes","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102493","Dendrocolaptes sanctithomae",66.9,"Dendrocolaptes","Furnariidae","Passeriformes","Aves","Chordata","Animalia"
"102498","Dendrocopos assimilis",64,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102505","Dendrocopos atratus",52,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102512","Dendrocopos auriceps",50,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102521","Dendrocopos canicapillus",27.45,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102537","Dendrocopos cathpharius",32.3333333333333,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102546","Dendrocopos darjellensis",87,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102555","Dendrocopos himalayensis",85,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102564","Dendrocopos kizuki",21.4666666666667,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102576","Dendrocopos leucopterus",67,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102582","Dendrocopos leucotos",113.611111111111,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102629","Dendrocopos macei",63,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102641","Dendrocopos maculatus",28.1666666666667,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102647","Dendrocopos mahrattensis",39.1,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102657","Dendrocopos major",82.859375,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102742","Dendrocopos medius",61.6875,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102787","Dendrocopos minor",21.325,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102856","Dendrocopos moluccensis",16.4,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102875","Dendrocopos syriacus",73.655,"Dendrocopos","Picidae","Piciformes","Aves","Chordata","Animalia"
"102904","Dendrocygna arborea",1080.73068181818,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"102930","Dendrocygna arcuata",799.393939390909,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"102957","Dendrocygna autumnalis",820.85,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"103030","Dendrocygna bicolor",723.338596489474,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"103090","Dendrocygna eytoni",820.487452378571,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"103124","Dendrocygna guttata",800,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"103144","Dendrocygna javanica",540,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"103161","Dendrocygna viduata",665.576923076923,"Dendrocygna","Anatidae","Anseriformes","Aves","Chordata","Animalia"
"103202","Dendrogale melanura",59.99,"Dendrogale","Tupaiidae","Scandentia","Mammalia","Chordata","Animalia"
"103205","Dendrogale murina",45.998,"Dendrogale","Tupaiidae","Scandentia","Mammalia","Chordata","Animalia"
"103231","Dendrohyrax arboreus",2367.01833333333,"Dendrohyrax","Procaviidae","Hyracoidea","Mammalia","Chordata","Animalia"
"103274","Dendrohyrax dorsalis",2677.915,"Dendrohyrax","Procaviidae","Hyracoidea","Mammalia","Chordata","Animalia"
"103293","Dendroica angelae",7.7,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103298","Dendroica caerulescens",9.975,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103334","Dendroica castanea",11.65,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103345","Dendroica cerulea",8.90833333333333,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103359","Dendroica chrysoparia",10.05,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103368","Dendroica coronata",11.8833333333333,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103395","Dendroica delicata",7.4,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103400","Dendroica discolor",7.43333333333333,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103422","Dendroica dominica",9.725,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103440","Dendroica fusca",9.5,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103452","Dendroica graciae",8.1,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103457","Dendroica kirtlandii",14.4666666666667,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103478","Dendroica magnolia",7.93333333333333,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103496","Dendroica nigrescens",8.7,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103502","Dendroica occidentalis",10.2,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103513","Dendroica palmarum",10.1333333333333,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103528","Dendroica pensylvanica",9.2,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103546","Dendroica petechia",10.2142857142857,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103583","Dendroica pharetra",9.9,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103588","Dendroica pinus",11.84,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103612","Dendroica pityophila",8,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103617","Dendroica plumbea",10.1,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103622","Dendroica striata",12.9,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103642","Dendroica subita",7.6,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103646","Dendroica tigrina",10.7,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103662","Dendroica townsendi",8.85,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103679","Dendroica virens",8.8,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103697","Dendroica vitellina",6.7,"Dendroica","Parulidae","Passeriformes","Aves","Chordata","Animalia"
"103701","Dendrolagus bennettianus",10563.982,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103728","Dendrolagus dorianus",9379.52666666667,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103746","Dendrolagus goodfellowi",7261.25428571429,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103779","Dendrolagus inustus",9611.66666666667,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103818","Dendrolagus lumholtzi",6649.97,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103826","Dendrolagus matschiei",7219.05714285714,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103859","Dendrolagus mbaiso",9395.06,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103864","Dendrolagus pulcherrimus",5913.5,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103888","Dendrolagus scottae",9979.29,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103901","Dendrolagus spadix",7324.7,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103927","Dendrolagus stellarum",6437.42857142857,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103958","Dendrolagus ursinus",9749.99666666667,"Dendrolagus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia"
"103970","Dendromus insignis",8.2,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"103980","Dendromus kahuziensis",1,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"103985","Dendromus leucostomus",7.38,"Dendromus","Nesomyidae","Rodentia","Mammalia","Chordata","Animalia"
"103995","Dendromus lovati",12,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"103998","Dendromus melanotis",7.815,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104015","Dendromus mesomelas",11.7,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104030","Dendromus messorius",4.1,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104037","Dendromus mystacalis",7.685,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104043","Dendromus nyasae",11.8,"Dendromus","Nesomyidae","Rodentia","Mammalia","Chordata","Animalia"
"104052","Dendromus nyikae",15,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104057","Dendromus oreas",1,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104059","Dendromus vernayi",11.8,"Dendromus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104068","Dendronanthus indicus",15.8,"Dendronanthus","Motacillidae","Passeriformes","Aves","Chordata","Animalia"
"104078","Dendrophidion dendrophis",170.5,"Dendrophidion","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"104092","Dendropicos abyssinicus",25,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104098","Dendropicos elachus",19.35,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104105","Dendropicos elliotii",37.3,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104113","Dendropicos fuscescens",28.525,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104133","Dendropicos gabonensis",27,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104142","Dendropicos goertae",47.2785714285714,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104161","Dendropicos griseocephalus",42.6666666666667,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104177","Dendropicos namaquus",84.6666666666667,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104188","Dendropicos obsoletus",21.2,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104202","Dendropicos poecilolaemus",28.48,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104210","Dendropicos pyrrhogaster",69.6,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104218","Dendropicos stierlingi",28.75,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104226","Dendropicos xantholophus",60.75,"Dendropicos","Picidae","Piciformes","Aves","Chordata","Animalia"
"104233","Dendrortyx barbatus",445.5,"Dendrortyx","Odontophoridae","Galliformes","Aves","Chordata","Animalia"
"104241","Dendrortyx leucophrys",378,"Dendrortyx","Odontophoridae","Galliformes","Aves","Chordata","Animalia"
"104248","Dendrortyx macroura",426.1,"Dendrortyx","Odontophoridae","Galliformes","Aves","Chordata","Animalia"
"104261","Dendrotriton bromeliacius",0.59,"Dendrotriton","Plethodontidae","Caudata","Amphibia","Chordata","Animalia"
"104267","Denisonia devisi",47.5360743443004,"Denisonia","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"104307","Denisonia maculata",20.0447202736516,"Denisonia","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"104324","Deomys ferrugineus",57.6,"Deomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104328","Dephomys defua",44.025,"Dephomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104334","Dephomys eburneae",52.5,"Dephomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104337","Dermanura azteca",20.81,"Dermanura","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104343","Dermanura cinerea",12.7,"Dermanura","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104347","Dermanura glauca",12.31,"Dermanura","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104350","Dermanura gnoma",10.06,"Dermanura","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104353","Dermanura phaeotis",11.69,"Dermanura","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104362","Dermanura tolteca",15.47,"Dermanura","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104368","Dermanura watsoni",11.2,"Dermanura","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104373","Dermatemys mawii",13565.7142857143,"Dermatemys","Dermatemydidae","Testudines","Reptilia","Chordata","Animalia"
"104401","Dermochelys coriacea",497389.642842105,"Dermochelys","Dermochelyidae","Testudines","Reptilia","Chordata","Animalia"
"104513","Deroptyus accipitrinus",243.865714285714,"Deroptyus","Psittacidae","Psittaciformes","Aves","Chordata","Animalia"
"104530","Desmalopex leucopterus",343.81,"Desmalopex","Pteropodidae","Chiroptera","Mammalia","Chordata","Animalia"
"104533","Desmana moschata",838.477142857143,"Desmana","Talpidae","Soricomorpha","Mammalia","Chordata","Animalia"
"104564","Desmodilliscus braueri",10,"Desmodilliscus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104574","Desmodillus auricularis",63.2425,"Desmodillus","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104609","Desmodus rotundus",31.295,"Desmodus","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104658","Desmognathus fuscus",1.8544392,"Desmognathus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia"
"104705","Desmognathus monticola",5.6067438,"Desmognathus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia"
"104729","Desmognathus ochrophaeus",1.48719495238095,"Desmognathus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia"
"104797","Desmognathus ocoee",1.35,"Desmognathus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia"
"104806","Desmognathus quadramaculatus",14.9995695,"Desmognathus","Plethodontidae","Caudata","Amphibia","Chordata","Animalia"
"104873","Desmomys harringtoni",89.99,"Desmomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"104876","Diadophis punctatus",30.8571428571429,"Diadophis","Colubridae","Squamata","Reptilia","Chordata","Animalia"
"104977","Diaemus youngi",36.6516666666667,"Diaemus","Phyllostomidae","Chiroptera","Mammalia","Chordata","Animalia"
"104995","Dibamus bogadeki",5.88843655355589,"Dibamus","Dibamidae","Squamata","Reptilia","Chordata","Animalia"
"105002","Dibamus bourreti",6.45654229034656,"Dibamus","Dibamidae","Squamata","Reptilia","Chordata","Animalia"
"105009","Dibamus novaeguineae",6.02559586074358,"Dibamus","Dibamidae","Squamata","Reptilia","Chordata","Animalia"
"105017","Dicaeum aeneum",9.25,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105024","Dicaeum aeruginosum",8,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105028","Dicaeum agile",8.33333333333333,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105036","Dicaeum annae",10,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105040","Dicaeum anthonyi",11.6,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105044","Dicaeum aureolimbatum",8.1,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105048","Dicaeum australe",9.83333333333333,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105055","Dicaeum bicolor",9.1,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105059","Dicaeum celebicum",6.5,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105062","Dicaeum chrysorrheum",9,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105065","Dicaeum concolor",6.4,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105073","Dicaeum cruentatum",6.35,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105086","Dicaeum erythrorhynchos",6.3,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105094","Dicaeum eximium",7.63333333333333,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105101","Dicaeum geelvinkianum",6.36,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105112","Dicaeum haematostictum",9.86666666666667,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105120","Dicaeum hirundinaceum",8.775,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105133","Dicaeum hypoleucum",8,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105137","Dicaeum ignipectus",5.8,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105146","Dicaeum minullum",6.5,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105150","Dicaeum nigrilore",11,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105154","Dicaeum nitidum",6.25,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105160","Dicaeum pectorale",6.52,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105170","Dicaeum proprium",10.2,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105174","Dicaeum pygmaeum",5,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105178","Dicaeum retrocinctum",6.5,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105182","Dicaeum trigonostigma",7.1,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105187","Dicaeum tristrami",11.7,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105191","Dicaeum virescens",6.5,"Dicaeum","Dicaeidae","Passeriformes","Aves","Chordata","Animalia"
"105195","Dicamptodon ensatus",58.1816766666667,"Dicamptodon","Ambystomatidae","Caudata","Amphibia","Chordata","Animalia"
"105207","Dicerorhinus sumatrensis",1209039.01,"Dicerorhinus","Rhinocerotidae","Perissodactyla","Mammalia","Chordata","Animalia"
"105248","Diceros bicornis",1030926.8025,"Diceros","Rhinocerotidae","Perissodactyla","Mammalia","Chordata","Animalia"
"105298","Dichrozona cincta",16,"Dichrozona","Thamnophilidae","Passeriformes","Aves","Chordata","Animalia"
"105300","Diclidurus albus",19.39,"Diclidurus","Emballonuridae","Chiroptera","Mammalia","Chordata","Animalia"
"105316","Diclidurus ingens",12.3,"Diclidurus","Emballonuridae","Chiroptera","Mammalia","Chordata","Animalia"
