"","species","varval","genus","family","order","class","phylum","kingdom"
"683","Acanthocercus atricollis",62.9414145004471,"Acanthocercus","Agamidae","Squamata","Reptilia","Chordata","Animalia"
"735","Acanthocercus cyanogaster",39,"Acanthocercus","Agamidae","Squamata","Reptilia","Chordata","Animalia"
"743","Acanthocercus phillipsii",8.6,"Acanthocercus","Agamidae","Squamata","Reptilia","Chordata","Animalia"
"753","Acanthocercus yemensis",36.3078054770101,"Acanthocercus","Agamidae","Squamata","Reptilia","Chordata","Animalia"
"765","Acanthochelys pallidipectoris",369.2,"Acanthochelys","Chelidae","Testudines","Reptilia","Chordata","Animalia"
"772","Acanthodactylus aegyptius",1.65958690743756,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"783","Acanthodactylus bedriagai",6.308,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"807","Acanthodactylus beershebensis",11.5454147487924,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"843","Acanthodactylus boskianus",10.0026915784939,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"907","Acanthodactylus boueti",4.26579518801593,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"914","Acanthodactylus cantoris",2.63026799189538,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"922","Acanthodactylus dumerilii",6.51409281650179,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"955","Acanthodactylus erythrurus",8.40895672475803,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1041","Acanthodactylus guineensis",2.63026799189538,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1048","Acanthodactylus hardyi",7.00833333333333,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1067","Acanthodactylus lineomaculatus",8.574,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1104","Acanthodactylus longipes",5.85595822975487,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1135","Acanthodactylus maculatus",6.64857142857143,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1166","Acanthodactylus opheodurus",3.90981340495762,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1192","Acanthodactylus pardalis",7.28442295770815,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1255","Acanthodactylus schmidti",13.1278045655772,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1288","Acanthodactylus schreiberi",11.6722724070859,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1353","Acanthodactylus scutellatus",6.06357866056322,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1414","Acanthodactylus spinicauda",4.70888888888889,"Acanthodactylus","Lacertidae","Squamata","Reptilia","Chordata","Animalia"
"1454","Acanthophis antarcticus",448.213165009567,"Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"1546","Acanthophis laevis",606.306941504209,"Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"1627","Acanthophis praelongus",106.628893097584,"Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"1650","Acanthophis pyrrhus",458.441303269053,"Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"1740","Acanthophis rugosus",703,"Acanthophis","Elapidae","Squamata","Reptilia","Chordata","Animalia"
"1815","Acanthorhynchus superciliosus",9.75,"Acanthorhynchus","Meliphagidae","Passeriformes","Aves","Chordata","Animalia"
"1830","Acanthorhynchus tenuirostris",10.0888888888889,"Acanthorhynchus","Meliphagidae","Passeriformes","Aves","Chordata","Animalia"
"1858","Acanthornis magna",10.2,"Acanthornis","Acanthizidae","Passeriformes","Aves","Chordata","Animalia"
"1871","Acanthosaura armata",55.3688520079279,"Acanthosaura","Agamidae","Squamata","Reptilia","Chordata","Animalia"
"1891","Acanthosaura crucigera",91.201083935591,"Acanthosaura","Agamidae","Squamata","Reptilia","Chordata","Animalia"
"1905","Acanthosaura lepidogaster",17.3780082874938,"Acanthosaura","Agamidae","Squamata","Reptilia","Chordata","Animalia"
"1913","Accipiter albogularis",302.7,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"1921","Accipiter badius",176.611111111111,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"1963","Accipiter bicolor",327.4,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"1979","Accipiter brachyurus",142,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"1981","Accipiter brevipes",217,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2005","Accipiter castanilius",159.375,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2016","Accipiter chilensis",350.75,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2028","Accipiter chionogaster",143.384615384615,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2068","Accipiter cirrocephalus",178,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2090","Accipiter cooperii",397.118666666667,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2154","Accipiter erythrauchen",156,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2156","Accipiter erythronemius",142.071428571429,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2197","Accipiter erythropus",110.34,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2212","Accipiter fasciatus",429.944444444444,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2241","Accipiter francesiae",138.5,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2252","Accipiter gentilis",968.516,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2358","Accipiter griseiceps",255.5,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2364","Accipiter gularis",118.625,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2386","Accipiter gundlachi",675,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2391","Accipiter haplochrous",226.1,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
"2403","Accipiter henstii",1050,"Accipiter","Accipitridae","Accipitriformes","Aves","Chordata","Animalia"
