Ara;ararauna;AMO68157;m;;18,5;;
;;USNM318791;m;;19,5;;
;;USNM223993;m;;18,5;;
;;USNM502500;m;;20;;
;;SAMB45880;f;;18;;
;;USNM322286;f;;15;;
;;USNM491891;f;;16,25;;
;;USNM428243;f;;18;;
;;USNM498698;f;;17;;
;;USNM502499;f;;18;;
Ara;auricollis;USNM345846;f;;7,9;;
;;USNM345851;f;;7,1;;
;;USNM345852;m;;7,55;;
Ara;chloroptera;USNM226876;m;;22;;
;;USNM225132;m;;19,5;;
;;USNM345850;f;;22;;
;;USNM490125;f;;20;;
Ara;macao;USNM431614;m;;15,5;;
;;USNM288772;m;;19,25;;
;;USNM290508;m;;18,5;;
;;USNM18508;m;;18;;
;;USNM502497;m;;19;;
;;USNM226164;f;;17;;
;;SAMB45881;f;;17;;
;;USNM502498;f;;20;;
;;USNM322212;f;;18;;
;;USNM321981;f;;17;;
;;MVG1424;;;24;;
;;AMO65726;;;17,25;;
;;AMO43598;;941;20;;
Ara;manilata;USNM344700;f;;7,5;;
;;USNM621711;f;355;8,15;;
Ara;maracana;USNM320003;;;7,1;;
;;USNM344670;f;;7,35;;
Ara;militaris;USNM288554;m;;17,75;;
;;USNM344848;m;;19,25;;
;;USNM344772;m;;19;;
;;USNM288605;f;;19;;
Ara;nobilis;ANWC23829;m;;5,6;;
;;USNM502503;m;;6,15;;
;;USNM502284;f;;5,8;;
Ara;severa;USNM502504;f;;10,05;;
Aratinga;acuticaudata;USNM227773;f;;5,25;;
Aratinga;aurea;MVB10183;m;;2,7;;
;;SAMB36939;;;3,75;;
;;USNM345861;f;;3;;
;;USNM289767;f;;3,55;;
Aratinga;canicularis;USNM322651;f;;3,25;;
;;USNM292922;m;;3,15;;
;;USNM346606;m;;3,4;;
Aratinga;chloroptera;USNM227068;f;;5,3;;
;;USNM292566;f;;5,6;;
Aratinga;finschii;USNM612288;f;158;5,15;;
;;USNM613365;f;266;5,4;;
;;USNM613366;m;260;5,4;;
;;USNM612287;m;;5,15;;
Aratinga;holochlora;USNM358093;f;;5,1;;
;;USNM343478;f;;5,8;;
;;USNM322297;m;;5;;
Aratinga;jandaya;USNM344704;f;;3,8;;
Aratinga;leucopthalmus;USNM344612;m;;5,7;;
;;USNM345867;m;;5,4;;
;;USNM343822;m;;5,4;;
;;USNM345867;m;;5,8;;
Aratinga;nana;USNM559180;f;;4,15;;
;;USNM558861;f;;3,9;;
;;USNM559177;f;;4,15;;
;;USNM559181;f;;3,8;;
;;USNM559178;f;;3,8;;
;;USNM558862;m;;3,95;;
;;USNM558863;m;;3,8;;
;;USNM558865;m;;4,35;;
;;USNM559174;m;;4,2;;
;;USNM559173;m;;4;;
Aratinga;pertinax;USNM490620;m;;3,5;;
;;USNM347334;m;;3,75;;
;ocularis;USNM490201;f;;3,25;;
;ocularis;USNM347355;f;;3,5;;
;aeruginosa;USNM344084;f;;3,3;;
Aratinga;solstitialis;USNM614252;m;86,2;4,5;;
;;USNM612805;m;;4,6;;
Aratinga;weddellii;USNM319983;f;;3,65;;
;;USNM345865;f;;3,85;;
;;USNM345863;m;;4,4;;
;;USNM345866;m;;4,15;;
Barnardius;barnardius;SAMB47027;m;;4,1;;
;;SAMB38566;m;;4;;
;;AMO58257;m;200;3,9;;
;;AMO56956;m;;3,5;;
;;MVB11134;f;;3;;
;;MVB10372;f;130;3,4;;
;;MVW9124;f;125,2;2,9;;
;;SAMB47704;f;;3,8;;
;;AMO58256;f;120;3,7;;
Barnardius;zonarius;ANWC32037;m;120;3,35;;
;;ANWC23737;m;120;5;;
;;ANWC38386;m;119;3,7;;
;;MVB8583;m;;3,6;;
;;MVB20354;f;162;3,4;;
;;MVB20005;f;157;3,9;;
;;SAMB49014;f;;4,4;;
Bolbopsittacus;lunulatus;USNM613041;m;60;2,6;;
;;USNM613042;m;74;2,7;;
Bolborhynchus;lineola;MVB12118;f;;2,05;;
;;USNM553603;m;;2,1;;
Brotogeris;chrysopterus;USNM344470;f;;1,8;;
;;USNM320132;f;;1,9;;
;;USNM322164;f;;2;;
;;USNM322163;f;;1,9;;
;;USNM320968;f;;2,2;;
;;USNM321974;m;;2,2;;
;;USNM319980;m;;2,15;;
;;USNM322176;m;;2,15;;
;;USNM321973;m;;2,1;;
;;USNM344088;m;;2,35;;
Brotogeris;jugularis;USNM226702;m;;2,45;2,27;2,115
;;USNM290129;m;;2,15;;
;;USNM428052;m;;2,05;;
;;USNM322157;m;;2,3;;
;;USNM291167;m;;2,4;;
;;MVB16378;f;;1,85;1,96;
;;USNM320025;f;62;2,1;;
;;USNM288526;f;;1,9;;
;;USNM343453;f;;1,95;;
;;USNM320026;f;;2;;
Brotogeris;tirica;USNM288525;m;;2,7;;
Brotogeris;versicolurus;USNM226874;f;;2,35;;
;;USNM226873;f;;2,45;;
;;USNM345873;f;;2,25;;
;;USNM288215;f;;2,3;;
;;USNM345874;m;;2,4;;
;;USNM345875;m;;2,2;;
;;USNM226875;m;;2,7;;
Brotogeris;virescens;USNM489893;m;;2,65;;
;;USNM489967;f;;2,25;;
Cacatua;alba;USNM557127;m;;16;;
;;USNM557126;m;;12,5;;
;;USNM557130;f;;13,25;;
;;USNM347766;f;;16;;
;;USNM557129;f;;13;;
;;USNM557131;f;;14;;
Cacatua;ducorps;AMB7012;;;9,1;;
